keyword,search_volume,kd,service_page_count,homepage_count,televo_count
iptv service,1000,24,38,5,0
iptv services,720,27,7,4,2
best iptv service,590,18,12,0,0
recommended iptv service,390,28,3,0,0
best iptv services,260,37,3,0,0
best iptv service uk,260,10,6,0,0
best iptv service in uk,260,11,3,0,0
iptv service uk,260,11,10,1,0
uk iptv service,210,0,8,0,0
ip tv service,210,23,1,0,0
iptv service provider,210,19,3,0,0
iptv service providers,210,16,3,0,0
iptv services uk,170,2,3,0,0
iptvservice,170,23,0,0,0
best iptv service for uk,140,16,2,0,0
best iptv services uk,110,11,1,0,0
best uk iptv service,110,7,5,0,0
