keyword,search_volume,kd,pricing_page_count,homepage_count,service_page_count,televo_count
iptv subscriptions,880,44,3,1,1,0
iptv sub,720,12,2,0,0,0
buy iptv,480,6,5,0,0,0
cheap iptv,320,3,3,3,1,0
subscription iptv,320,9,1,0,0,0
iptv subscriptions uk,260,10,1,0,0,0
purchase iptv,210,3,1,0,0,0
subscription iptv uk,210,6,1,0,0,0
best iptv subscription,210,40,2,4,0,0
iptv buy,170,5,0,0,0,0
cheap iptv uk,170,3,1,3,0,0
iptv cheap uk,170,0,0,0,0,0
cheapest iptv,170,9,1,0,0,0
buy iptv uk,140,22,1,0,0,0
iptv purchase,140,17,1,0,0,0
cheap iptv subscription,140,3,1,0,0,0
buying iptv,110,22,1,0,0,0
cheapest iptv uk,110,9,1,0,0,0
cheap uk iptv,110,9,1,0,0,0
iptv cheap subscription,110,6,0,0,0,0
